onetsoc,title,job_zone,job_zone_name,exclude_reason
11-1031.00,Legislators,4,Job Zone Four: Considerable Preparation Needed,no abilities ratings
11-2032.00,Public Relations Managers,4,Job Zone Four: Considerable Preparation Needed,no abilities ratings
13-1082.00,Project Management Specialists,4,Job Zone Four: Considerable Preparation Needed,no abilities ratings
13-2051.00,Financial and Investment Analysts,4,Job Zone Four: Considerable Preparation Needed,no abilities ratings
13-2054.00,Financial Risk Specialists,4,Job Zone Four: Considerable Preparation Needed,no abilities ratings
15-1255.00,Web and Digital Interface Designers,4,Job Zone Four: Considerable Preparation Needed,no abilities ratings
15-1299.04,Penetration Testers,4,Job Zone Four: Considerable Preparation Needed,no abilities ratings
15-1299.06,Digital Forensics Analysts,4,Job Zone Four: Considerable Preparation Needed,no abilities ratings
15-1299.07,Blockchain Engineers,4,Job Zone Four: Considerable Preparation Needed,no abilities ratings
15-2051.00,Data Scientists,4,Job Zone Four: Considerable Preparation Needed,no abilities ratings
17-3028.00,Calibration Technologists and Technicians,3,Job Zone Three: Medium Preparation Needed,no abilities ratings
19-4044.00,Hydrologic Technicians,3,Job Zone Three: Medium Preparation Needed,no abilities ratings
25-2055.00,"Special Education Teachers, Kindergarten",4,Job Zone Four: Considerable Preparation Needed,no abilities ratings
27-2091.00,"Disc Jockeys, Except Radio",2,Job Zone 1-2: Very Little to Some Preparation Needed,no abilities ratings
27-4015.00,Lighting Technicians,3,Job Zone Three: Medium Preparation Needed,no abilities ratings
29-1212.00,Cardiologists,5,Job Zone Five: Extensive Preparation Needed,no abilities ratings
29-1242.00,"Orthopedic Surgeons, Except Pediatric",5,Job Zone Five: Extensive Preparation Needed,no abilities ratings
29-1243.00,Pediatric Surgeons,5,Job Zone Five: Extensive Preparation Needed,no abilities ratings
29-2042.00,Emergency Medical Technicians,3,Job Zone Three: Medium Preparation Needed,no abilities ratings
29-2043.00,Paramedics,3,Job Zone Three: Medium Preparation Needed,no abilities ratings
29-2072.00,Medical Records Specialists,3,Job Zone Three: Medium Preparation Needed,no abilities ratings
29-9021.00,Health Information Technologists and Medical Registrars,3,Job Zone Three: Medium Preparation Needed,no abilities ratings
33-9094.00,School Bus Monitors,2,Job Zone 1-2: Very Little to Some Preparation Needed,no abilities ratings
39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",2,Job Zone 1-2: Very Little to Some Preparation Needed,no abilities ratings
39-4012.00,Crematory Operators,2,Job Zone 1-2: Very Little to Some Preparation Needed,no abilities ratings
41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",2,Job Zone 1-2: Very Little to Some Preparation Needed,no abilities ratings
53-1044.00,First-Line Supervisors of Passenger Attendants,3,Job Zone Three: Medium Preparation Needed,no abilities ratings
53-3054.00,Taxi Drivers,2,Job Zone 1-2: Very Little to Some Preparation Needed,no abilities ratings
53-6032.00,Aircraft Service Attendants,2,Job Zone 1-2: Very Little to Some Preparation Needed,no abilities ratings
