onetsoc,title,job_zone,job_zone_name,VA,AR,CM,SA,FP,CP,MC,MD,FD,n_descriptors_used,missing_flags,abilities_date
11-1011.00,Chief Executives,5,Job Zone Five: Extensive Preparation Needed,8.93,7.33,7.28,6.38,6.00,6.00,1.88,1.44,2.19,17,,08/2023
11-1011.03,Chief Sustainability Officers,5,Job Zone Five: Extensive Preparation Needed,8.51,6.21,6.26,5.63,4.37,4.37,1.24,1.12,2.19,17,,08/2021
11-1021.00,General and Operations Managers,4,Job Zone Four: Considerable Preparation Needed,7.89,6.32,6.28,5.50,4.63,4.63,2.63,2.32,2.32,17,,08/2023
11-2011.00,Advertising and Promotions Managers,4,Job Zone Four: Considerable Preparation Needed,8.25,6.36,6.32,6.37,5.63,5.63,2.50,2.13,2.62,17,,08/2018
11-2021.00,Marketing Managers,4,Job Zone Four: Considerable Preparation Needed,8.18,6.84,6.80,6.00,5.63,5.63,2.37,1.69,2.69,17,,07/2015
11-2022.00,Sales Managers,4,Job Zone Four: Considerable Preparation Needed,8.04,6.45,6.41,4.75,4.87,4.87,2.24,2.00,2.12,17,,08/2025
11-2033.00,Fundraising Managers,4,Job Zone Four: Considerable Preparation Needed,8.16,6.28,6.28,4.12,4.24,4.24,3.37,2.31,2.31,17,,08/2025
11-3012.00,Administrative Services Managers,3,Job Zone Three: Medium Preparation Needed,7.88,5.43,5.56,5.63,5.13,5.13,1.63,2.63,3.13,17,,07/2017
11-3013.00,Facilities Managers,3,Job Zone Three: Medium Preparation Needed,7.53,5.76,5.72,5.37,5.50,5.50,4.24,4.56,4.50,17,,08/2024
11-3013.01,Security Managers,4,Job Zone Four: Considerable Preparation Needed,8.19,5.38,5.42,5.88,6.13,6.13,3.50,3.69,3.63,17,,08/2025
11-3021.00,Computer and Information Systems Managers,4,Job Zone Four: Considerable Preparation Needed,7.97,6.69,6.77,6.00,5.50,5.50,3.38,3.75,3.75,17,,07/2016
11-3031.00,Financial Managers,4,Job Zone Four: Considerable Preparation Needed,8.13,7.53,7.69,4.24,5.50,5.50,3.62,3.13,3.25,17,,08/2022
11-3031.01,Treasurers and Controllers,4,Job Zone Four: Considerable Preparation Needed,8.38,8.39,8.39,5.00,6.24,6.24,1.63,1.44,2.88,17,,08/2020
11-3031.03,Investment Fund Managers,5,Job Zone Five: Extensive Preparation Needed,8.27,8.31,8.22,5.50,6.00,6.00,1.00,1.00,2.57,17,,07/2014
11-3051.00,Industrial Production Managers,4,Job Zone Four: Considerable Preparation Needed,7.73,7.00,6.88,6.37,6.12,6.12,3.88,3.94,4.44,17,,08/2021
11-3051.01,Quality Control Systems Managers,4,Job Zone Four: Considerable Preparation Needed,8.15,6.84,6.80,5.75,6.75,6.75,3.13,3.82,3.82,17,,08/2022
11-3051.02,Geothermal Production Managers,3,Job Zone Three: Medium Preparation Needed,7.87,7.51,7.38,6.00,6.25,6.25,1.63,3.00,3.63,17,,07/2011
11-3051.03,Biofuels Production Managers,4,Job Zone Four: Considerable Preparation Needed,7.71,6.90,6.78,5.75,6.87,6.87,4.62,4.50,4.38,17,,07/2016
11-3051.04,Biomass Power Plant Managers,4,Job Zone Four: Considerable Preparation Needed,7.81,6.76,6.80,5.87,6.50,6.50,1.75,3.13,3.50,17,,08/2020
11-3051.06,Hydroelectric Production Managers,3,Job Zone Three: Medium Preparation Needed,8.06,7.00,7.00,6.63,7.37,7.37,4.88,4.82,4.88,17,,07/2016
11-3061.00,Purchasing Managers,4,Job Zone Four: Considerable Preparation Needed,7.95,6.83,6.80,4.25,5.75,5.75,1.88,1.44,1.44,17,,08/2023
11-3071.00,"Transportation, Storage, and Distribution Managers",4,Job Zone Four: Considerable Preparation Needed,7.66,6.40,6.48,5.12,5.76,5.76,3.37,3.06,3.19,17,,08/2024
11-3071.04,Supply Chain Managers,4,Job Zone Four: Considerable Preparation Needed,8.15,6.83,6.66,5.50,5.76,5.76,1.63,1.32,2.45,17,,07/2017
